2026-02-01 22:03:24.268 [INFO] [EVT] Session Started
2026-02-01 22:03:24.268 [INFO] [EVT] Client Connected: ('127.0.0.1', 59106)
2026-02-01 22:03:24.268 [WARN] [CMD] Unknown(0x12)        | CDB: 12 00 00 00 24 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.269 [WARN] [RES] Unknown(0x12)        | CDB: 12 00 00 00 24 00    | DATA: 03 00 00 00 1F 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.311 [LOG ] [CMD] GetStatusSize        | CDB: CC 80 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.312 [LOG ] [RES] GetStatusSize        | CDB: CC 80 00 00 04 00    | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.394 [INFO] [CMD] GetHardwareID        | CDB: CC 81 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.395 [INFO] [RES] GetHardwareID        | CDB: CC 81 00 00 04 00    | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.480 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.482 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.567 [WARN] [CMD] Group2_GunHT_Generic | CDB: 02 00 00 00 00 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.569 [ERR ] [RES] Group2_GunHT_Generic | CDB: 02 00 00 00 00 00    | DATA: [Empty] -> Status=4
2026-02-01 22:03:24.615 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.617 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.735 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.737 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.822 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.823 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.908 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.909 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:24.994 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:24.995 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.079 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.080 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.161 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.162 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.245 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.246 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.330 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.330 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.413 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.414 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.500 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.502 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.587 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.588 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.675 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.676 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.761 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.763 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:25.911 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:25.912 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.018 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.019 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.125 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.126 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.233 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.233 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.340 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.341 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.447 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.448 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.554 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.555 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.661 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.662 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.770 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.770 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 02 00 00 80 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.876 [LOG ] [CMD] GetMag               | CDB: C8 50 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.877 [LOG ] [RES] GetMag               | CDB: C8 50 00 00 04 00    | DATA: 00 00 00 00 04 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:26.920 [WARN] [CMD] Unknown(0xCE)        | CDB: CE 03 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:26.921 [WARN] [RES] Unknown(0xCE)        | CDB: CE 03 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.006 [WARN] [CMD] ReadLens_Generic     | CDB: C8 37 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.007 [WARN] [RES] ReadLens_Generic     | CDB: C8 37 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.090 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.092 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.177 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.178 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.262 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.263 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.347 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.348 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.432 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.433 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.517 [WARN] [CMD] Unknown(0xC2)        | CDB: C2 01 00 00 00 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.518 [WARN] [RES] Unknown(0xC2)        | CDB: C2 01 00 00 00 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.601 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.602 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.683 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.684 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.767 [WARN] [CMD] Unknown(0xC2)        | CDB: C2 00 00 00 01 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.917 [WARN] [RES] Unknown(0xC2)        | CDB: C2 00 00 00 01 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:27.959 [LOG ] [CMD] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:27.961 [LOG ] [RES] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.044 [LOG ] [CMD] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.045 [LOG ] [RES] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.129 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.130 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.219 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.220 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.304 [LOG ] [CMD] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.304 [LOG ] [RES] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: 01 82 00 00 04 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.389 [LOG ] [CMD] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.390 [LOG ] [RES] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.481 [LOG ] [CMD] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.482 [LOG ] [RES] GetIMS               | CDB: C8 82 00 00 04 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.568 [LOG ] [CMD] WriteLUT             | CDB: E0 00 00 00 00 00 00 00 00 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.638 [LOG ] [RES] WriteLUT             | CDB: E0 00 00 00 00 00 00 00 00 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.681 [LOG ] [CMD] WriteLUT             | CDB: E0 00 01 00 00 00 00 00 00 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.752 [LOG ] [RES] WriteLUT             | CDB: E0 00 01 00 00 00 00 00 00 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.794 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.796 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.879 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.880 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:28.965 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:28.966 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.051 [WARN] [CMD] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.052 [WARN] [RES] Unknown(0xC3)        | CDB: C3 00 00 00 02 00    | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.141 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.143 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 01 82 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.227 [WARN] [CMD] ReadLens_Generic     | CDB: C8 70 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.228 [WARN] [RES] ReadLens_Generic     | CDB: C8 70 00 00 04 00    | DATA: 01 70 08 00 04 00 00 00 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.311 [LOG ] [CMD] GetOLCrs             | CDB: C8 32 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.312 [LOG ] [RES] GetOLCrs             | CDB: C8 32 00 00 04 00    | DATA: 01 32 09 7E 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.403 [LOG ] [CMD] GetALS               | CDB: C4 03 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.404 [LOG ] [RES] GetALS               | CDB: C4 03 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.486 [LOG ] [CMD] GetALS               | CDB: C4 03 00 00 04 00    | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.487 [LOG ] [RES] GetALS               | CDB: C4 03 00 00 04 00    | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.588 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.590 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 06 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.683 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 0C 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.685 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 0C 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.784 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
2026-02-01 22:03:29.784 [WARN] [RES] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: 00 00 00 00 04 00 40 B7 4A 45 4F 4C 20 20 20 20 ... -> Status=1
2026-02-01 22:03:29.890 [WARN] [CMD] Unknown(0xFA)        | CDB: FA 00 00 00 00 00 00 00 08 00 | DATA: [Empty] -> Status=0
